藏品编号,藏品名称,作者,时间,朝代,类别,尺寸,媒介,摘要,信用信息,图片链接,详情链接
41542,Head of Buddha,Artist/maker unknown,14th century,Yuan Dynasty (1271-1368),Sculpture,6 11/16 × 3 15/16 × 4 7/16 inches (17 × 10 × 11.3 cm),Cast iron with pigment,,"Gift of Charles H. Ludington from the George Crofts Collection, 1925","https://iiif.micr.io/kloCH/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/41542
41547,Dagger,Artist/maker unknown,206 BCE-220 CE,Han Dynasty (206 BCE-220 CE),Arms and Armor,"Length: 11 1/16 inches (28.1 cm)
Other (Blade): 7 11/16 × 1 9/16 inches (19.5 × 4 cm)",Bronze,,"Gift of Charles H. Ludington from the George Crofts Collection, 1925","https://iiif.micr.io/xreiz/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/41547
42447,Architectural Tile,Artist/maker unknown,7th century,Tang Dynasty (618-907),Architecture (including fragments),24 7/16 x 17 5/16 inches (62 x 44 cm),Earthenware,,"Purchased with Museum funds, 1929","https://iiif.micr.io/vLuVF/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42447
42634,Grapes,Artist/maker unknown,1368-1644 or later,Ming Dynasty (1368-1644) or later,Paintings,10 1/2 inches x 9 5/8 inches (26.8 cm x 24.4 cm),Ink and colors on silk; mounted as an album leaf,,"Purchased with Museum funds from the Simkhovitch Collection, 1929","https://iiif.micr.io/UgAvk/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42634
42721,Buddhist Guardian Figure,Artist/maker unknown,1644-1911,Qing Dynasty (1644-1911),Paintings,8 1/16 × 3 3/8 inches (20.5 × 8.5 cm),"Album leaf; ink, color and gold on paper",,"Purchased with Museum funds from the Simkhovitch Collection, 1929","https://iiif.micr.io/tyLrd/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42721
42723,Landscape with Figures,Artist/maker unknown,1368-1644,Ming Dynasty (1368-1644),Paintings,9 1/4 × 9 13/16 inches (23.5 × 25 cm),Album leaf; ink and color on silk,,"Purchased with Museum funds from the Simkhovitch Collection, 1929","https://iiif.micr.io/Xxqmf/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42723
42859,Sparrows and Grain,Artist/maker unknown,1368-1644,Ming Dynasty (1368-1644),Paintings,9 11/16 × 9 7/16 inches (24.6 × 24 cm),Ink and color on silk; mounted as an album leaf,,"Purchased with Museum funds from the Simkhovitch Collection, 1929","https://iiif.micr.io/Gabju/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42859
44508,Half-Cloud Pavilion,Artist/maker unknown,17th century,Qing Dynasty (1644-1911),Paintings,"8 1/4 x 7 inches (21 x 17.8 cm)
Mount: 14 3/8 x 10 inches (36.5 x 25.4 cm)",Ink on paper; album leaf,,"Gift of J.W.N. Munthe, 1932","https://iiif.micr.io/PKMIm/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/44508
49681,Pomegranate shape vase,Artist/maker unknown,18th or 19th century,Qing Dynasty (1644-1911),Containers,3 5/8 x 3 3/8 inches (9.3 x 8.5 cm),"Glazed porcelain, flambé glaze",,"Gift of Elise Robinson Paumgarten from the Sallie Crozer Hilprecht Collection, 1945","https://iiif.micr.io/ZWAOK/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/49681
54075,Water Pot (Taibozun),Artist/maker unknown,1644-1911,Qing Dynasty (1644-1911),Containers,3 3/16 x 5 1/8 inches (8.1 x 13 cm),Glazed porcelain (White ware),,"Bequest of J. Mitchell Elliot, 1952","https://iiif.micr.io/cIhOT/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/54075
