Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
16475,brisé fan with three painted reserves,late 18th century,"pierced, painted and gilded ivory; jasperware; enameled metal; glass",https://images.metmuseum.org/CRDImages/es/original/DP-12912-162.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-162.jpg,https://www.metmuseum.org/art/collection/search/209925,unknown
16476,folding cabriolet fan with scene of figures in a courtyard garden,late 18th–early 19th century,"paper, ivory",https://images.metmuseum.org/CRDImages/es/original/DP-12912-176.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-176.jpg,https://www.metmuseum.org/art/collection/search/209985,unknown
16477,brisé fan with three representations of pavilions in landscapes,19th century,"silver, brilliants",https://images.metmuseum.org/CRDImages/es/original/DP-12912-012.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-012.jpg,https://www.metmuseum.org/art/collection/search/209986,unknown
16478,brisé fan with representation of pavilions in a landscape,19th century,silver,https://images.metmuseum.org/CRDImages/es/original/DP-12912-014.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-014.jpg,https://www.metmuseum.org/art/collection/search/209987,unknown
16479,folding fan with scene of figures in a courtyard garden,19th century,"paper, ivory, metal",https://images.metmuseum.org/CRDImages/es/original/DP-12912-016.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-016.jpg,https://www.metmuseum.org/art/collection/search/210087,unknown
16480,folding fan with landscape scene,19th century,"paper, gold, silver, enamel",https://images.metmuseum.org/CRDImages/es/original/DP-12912-010.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-010.jpg,https://www.metmuseum.org/art/collection/search/210088,unknown
16481,"brisé fan, with figures, pavilions, and fantastical beasts",late 18th–early 19th century,lacquered wood,https://images.metmuseum.org/CRDImages/es/original/DP-12912-034.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-034.jpg,https://www.metmuseum.org/art/collection/search/210094,unknown
16482,"brisé fan, with clouds of landscape pavilions",19th century,"bronze, enamel, silver-gilt",https://images.metmuseum.org/CRDImages/es/original/DP-12912-067.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-067.jpg,https://www.metmuseum.org/art/collection/search/210095,unknown
16483,"brisé fan, with representations of beasts in landscapes flanking hh monogram and the name ""henrietta""",early 19th century,ivory,https://images.metmuseum.org/CRDImages/es/original/DP-12912-164.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-164.jpg,https://www.metmuseum.org/art/collection/search/210100,unknown
16484,"brisé fan, with representations of warriors in a chinese landscape, and en monogram",early 19th century,mother-of-pearl,https://images.metmuseum.org/CRDImages/es/original/DP-12912-166.jpg,https://images.metmuseum.org/CRDImages/es/original/DP-12912-166.jpg,https://www.metmuseum.org/art/collection/search/210101,unknown
16485,bowl and dish,ca. 1700–1720,hard-paste porcelain,"https://images.metmuseum.org/CRDImages/es/original/SF2000_162_1, 2.jpg","https://images.metmuseum.org/CRDImages/es/original/SF2000_162_1, 2.jpg",https://www.metmuseum.org/art/collection/search/210150,unknown
16486,mug,ca. 1730–35,soft-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/DT4658.jpg,https://images.metmuseum.org/CRDImages/es/original/DT4658.jpg,https://www.metmuseum.org/art/collection/search/210162,saint-cloud factory
16487,bowl with cover,19th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/86695.jpg,https://images.metmuseum.org/CRDImages/es/original/86695.jpg,https://www.metmuseum.org/art/collection/search/210168,unknown
16488,saucer,ca. 1710–30,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/28035.jpg,https://images.metmuseum.org/CRDImages/es/original/28035.jpg,https://www.metmuseum.org/art/collection/search/210174,unknown
16489,cover,first quarter 18th century,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_105ab.jpg,https://images.metmuseum.org/CRDImages/es/original/SF1995_268_105ab.jpg,https://www.metmuseum.org/art/collection/search/210175,unknown
16490,plate,ca. 1750–60,hard-paste porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/210177,unknown
16491,soup plate,ca. 1720–25,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/261973.jpg,https://images.metmuseum.org/CRDImages/es/original/261973.jpg,https://www.metmuseum.org/art/collection/search/210181,unknown
16492,ewer with cover (one of a pair),ca. 1715–30,hard-paste porcelain,https://images.metmuseum.org/CRDImages/es/original/56788.jpg,https://images.metmuseum.org/CRDImages/es/original/56788.jpg,https://www.metmuseum.org/art/collection/search/210209,unknown
16493,chessmen (32),19th century,ivory,no_image,unknown,https://www.metmuseum.org/art/collection/search/210660,unknown
16494,tobacco pipe with case,ca. 1740,"silver, deer antler, horn, leather",https://images.metmuseum.org/CRDImages/es/original/2001.353a-c.jpg,https://images.metmuseum.org/CRDImages/es/original/2001.353a-c.jpg,https://www.metmuseum.org/art/collection/search/210789,unknown
