Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Octagonal plate with the Eight Treasures and a longevity character,https://searchcollection.asianart.org/internal/media/dispatcher/75423/preview,https://searchcollection.asianart.org/objects/4975/octagonal-plate-with-the-eight-treasures-and-a-longevity-cha?ctx=0daadffc854885a36f182d01c611485583b27350&idx=791,B83M10,,1522 - 1566,,Overall: H. 1 5/16 in × W. 6 3/8 in × D. 6 3/8 in (3.3 cm × 16.2 cm × 16.2 cm),Museum purchase,,China,"Ming dynasty (1368 - 1644), Reign of the Jiajing emperor (1522 - 1566)",Carved red lacquer,Chinese Art,Decorative Arts,On view,Jiajing mark,,,,
Summer Lotus,https://searchcollection.asianart.org/internal/media/dispatcher/61725/preview,https://searchcollection.asianart.org/objects/4979/summer-lotus?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=792,B69D5,"Yun Shouping Chinese, 1633-1690",dated 1688,,"H. 66 1/2 in x W. 28 7/8 in, H. 168.9 cm x W. 73.3 cm (image); H. 93 1/4 in x W. 36 1/8 in, H. 236.9 cm x W. 91.8 cm (overall)",Museum purchase,,,Qing dynasty (1644-1911),Ink and colors on silk,Chinese Art,Painting,Not on view,,,"戊辰初夏/擬北宋徐崇嗣/白雲溪漁壽平
After Xu Chongci (徐熙 937-975) of N. Song, early summer in the year wuchen (1668), by Baiyun xi yu (white-cloudy stream, fisherman) Shouping  
Seal: SHouping zhiyin (Seal of aSHouping) 壽平之印(白文方印);
Zhengshu 正叔（朱文方印）","如有薰風起硯池 /鮮霞猶護半開枝/露濕紅衣散金粉/澂香殘夜納涼持
This is a poem to describe the painting and accompanies the depiction, this was typical as there was poetry in painting and painting in poetry.  
A brief literary, but not poetic, translation:
As if the wind blows scents from my inkstone如有薰風起硯池
brilliant red/colors attaining semi-blossomed branches鮮霞猶護半開枝
exposing a red coating splashed with gold露濕紅衣散金粉
the sweet scent is perfect for enjoying the cool night  澂香殘夜納涼持",
Vase suspended from three chains,https://searchcollection.asianart.org/internal/media/dispatcher/20732/preview,https://searchcollection.asianart.org/objects/5097/vase-suspended-from-three-chains?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=793,B62J67,,1900-1949,,"H. 14 1/2 in x W. 4 in x D.3/4 in, H. 36.8 cm x W. 10.2 cm x D. 1.9 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
The Immortal Cao Guojiu holding a pair of beaters,https://searchcollection.asianart.org/internal/media/dispatcher/20701/preview,https://searchcollection.asianart.org/objects/5098/the-immortal-cao-guojiu-holding-a-pair-of-beaters?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=794,B62J52,,approx. 1900-1940,,"H. 8 7/8 in x W. 3 in x D. 2 in, H. 22.5 cm x W. 7.6 cm x D. 5.1 cm",The Avery Brundage Collection,,China,,Steatite (soapstone),Chinese Art,Jade And Stones,Not on view,,,,,
Hairpin in the shape of a stalk of bamboo,https://searchcollection.asianart.org/internal/media/dispatcher/23406/preview,https://searchcollection.asianart.org/objects/5103/hairpin-in-the-shape-of-a-stalk-of-bamboo?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=795,B69J11,,,,"L. 4 in x Diam. 5/16 in, L. 10.2 cm x Diam. .8 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Two monkeys wrestling,https://searchcollection.asianart.org/internal/media/dispatcher/15414/preview,https://searchcollection.asianart.org/objects/5108/two-monkeys-wrestling?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=796,B60J977,,,,"H. 3 1/4 in x W. 4 in x D. 2 in, H. 8.3 cm x W. 10.2 cm x D. 5.08 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Head of a buddha,https://searchcollection.asianart.org/internal/media/dispatcher/53156/preview,https://searchcollection.asianart.org/objects/5118/head-of-a-buddha?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=797,B60S31+,,probably 618-800,,"H. 16 in x W. 10 in x D. 10 1/2 in, H. 40.6 cm x W. 25.4 cm x D. 26.7 cm",The Avery Brundage Collection,,China,Tang dynasty (618-907),"Limestone; Medium gray, fine-grained, oolithic",Chinese Art,Sculpture,Not on view,,,,,
Figure with tiger skin clothing,https://searchcollection.asianart.org/internal/media/dispatcher/76483/preview,https://searchcollection.asianart.org/objects/5214/figure-with-tiger-skin-clothing?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=798,B62D48.1,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Male figure with black cap and carrying drum,https://searchcollection.asianart.org/internal/media/dispatcher/20448/preview,https://searchcollection.asianart.org/objects/5228/male-figure-with-black-cap-and-carrying-drum?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=799,B62D48.58,,approx. 1900-1935,,"H. 10 1/2 in, H. 26.7 cm without stilts",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Scholar,https://searchcollection.asianart.org/internal/media/dispatcher/20455/preview,https://searchcollection.asianart.org/objects/5235/scholar?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=800,B62D48.65,,approx. 1900-1935,,"H. 10 1/2 in, H. 26.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Scholar official,https://searchcollection.asianart.org/internal/media/dispatcher/20407/preview,https://searchcollection.asianart.org/objects/5255/scholar-official?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=801,B62D48.17,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Young woman,https://searchcollection.asianart.org/internal/media/dispatcher/20408/preview,https://searchcollection.asianart.org/objects/5256/young-woman?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=802,B62D48.18,,approx. 1900-1935,,"H. 11 1/2 in, H. 29.2 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Hen,https://searchcollection.asianart.org/internal/media/dispatcher/20415/preview,https://searchcollection.asianart.org/objects/5263/hen?ctx=9cff1be2e79b2b4c4c119cd68ac9283a9110ca79&idx=803,B62D48.25,,approx. 1900-1935,,"H. 8 1/2 in, H. 21.6 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
"Thunder and rain gods, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/20486/preview,https://searchcollection.asianart.org/objects/5311/thunder-and-rain-gods-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=804,B62D48.96,,approx. 1900-1935,,H. 11 in x W. 15 in; H. 27.9 cm x W. 38.1 cm,The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
"Thunder and rain gods, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/20487/preview,https://searchcollection.asianart.org/objects/5312/thunder-and-rain-gods-one-of-a-pair?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=805,B62D48.97,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Lotus pond (setting for a shadow play),https://searchcollection.asianart.org/internal/media/dispatcher/20489/preview,https://searchcollection.asianart.org/objects/5314/lotus-pond-setting-for-a-shadow-play?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=806,B62D48.99,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Heavenly musicians,https://searchcollection.asianart.org/internal/media/dispatcher/20506/preview,https://searchcollection.asianart.org/objects/5331/heavenly-musicians?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=807,B62D48.116,,approx. 1900-1935,,"H. 14 in x W. 15 in, H. 35.6 cm x W. 38.1 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Heavenly musicians,https://searchcollection.asianart.org/internal/media/dispatcher/20507/preview,https://searchcollection.asianart.org/objects/5332/heavenly-musicians?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=808,B62D48.117,,approx. 1900-1935,,"H. 14 in x W. 15 in, H. 35.6 cm x W. 38.1 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Warrior,https://searchcollection.asianart.org/internal/media/dispatcher/20515/preview,https://searchcollection.asianart.org/objects/5340/warrior?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=809,B62D48.125,,approx. 1900-1935,,"H. 12 in, H. 30.5 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Buffalo,https://searchcollection.asianart.org/internal/media/dispatcher/20518/preview,https://searchcollection.asianart.org/objects/5343/buffalo?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=810,B62D48.128,,approx. 1900-1935,,"H. 7 in, H. 17.8 cm",The Avery Brundage Collection,,China,,"Hide with pigments, bamboo",Chinese Art,Theatrical Arts,Not on view,,,,,
Drummer,https://searchcollection.asianart.org/internal/media/dispatcher/20525/preview,https://searchcollection.asianart.org/objects/5350/drummer?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=811,B62D48.135,,approx. 1900-1935,,"H. 10 1/2 in, H. 26.7 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Civil official,https://searchcollection.asianart.org/internal/media/dispatcher/20538/preview,https://searchcollection.asianart.org/objects/5363/civil-official?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=812,B62D48.148,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
Female figure,https://searchcollection.asianart.org/internal/media/dispatcher/20547/preview,https://searchcollection.asianart.org/objects/5372/female-figure?ctx=cc5f895a325ebab5ab09764c091d01aaf852632c&idx=813,B62D48.157,,approx. 1900-1935,,"H. 11 in, H. 27.9 cm",The Avery Brundage Collection,,China,,Hide with pigments,Chinese Art,Theatrical Arts,Not on view,,,,,
