Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Bottle vase,https://searchcollection.asianart.org/internal/media/dispatcher/18906/preview,https://searchcollection.asianart.org/objects/3488/bottle-vase?ctx=67e03789351aee1a0e4c046b1711d2b184b2abb5&idx=1990,B60P2326,,,,H. 7 1/2 in x W. 4 in,The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with black glaze,Chinese Art,Ceramics,Not on view,,,,,
Bottle vase,https://searchcollection.asianart.org/internal/media/dispatcher/18908/preview,https://searchcollection.asianart.org/objects/3489/bottle-vase?ctx=67e03789351aee1a0e4c046b1711d2b184b2abb5&idx=1991,B60P2327,,,,H. 8 1/2 in x W. 4 in,The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), prob. Reign of the Kangxi emperor (1662-1722)",Porcelain with pine green glaze,Chinese Art,Ceramics,Not on view,,,,,
"Cup with two handles, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/18924/preview,https://searchcollection.asianart.org/objects/3491/cup-with-two-handles-one-of-a-pair?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1992,B60P2339,,,,"H. 1 5/8 in x W. 2 3/4 in x D. 2 1/8 in, H. 4.1 cm x W. 7 cm x D. 5.4 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with incised decoration and yellow glaze on the exterior,Chinese Art,Ceramics,Not on view,"Kangxi mark, underglaze blue six-character mark in two columns",,,,
Cup with two handles,https://searchcollection.asianart.org/internal/media/dispatcher/18925/preview,https://searchcollection.asianart.org/objects/3492/cup-with-two-handles?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1993,B60P2340,,,,"H. 1 5/8 in x W. 2 3/4 in x D. 2 1/8 in, H. 4.1 cm x W. 7 cm x D. 5.4 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Glazed porcelain with incised decoration,Chinese Art,Ceramics,Not on view,Kangxi mark and underglaze blue six-character mark in two columns,,,,
Saucer-dish,https://searchcollection.asianart.org/internal/media/dispatcher/18930/preview,https://searchcollection.asianart.org/objects/3493/saucerdish?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1994,B60P2343,,,,"H. 1 5/8 in x Diam. 6 7/8 in, H. 4.2 cm x Diam. 17.5 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province",Qing dynasty (1644-1911),Porcelain with peach-bloom glaze,Chinese Art,Ceramics,Not on view,underglaze-blue four-character mark,,,,
"Small bowl, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/18939/preview,https://searchcollection.asianart.org/objects/3494/small-bowl-one-of-a-pair?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1995,B60P2348,,,,"H. 2 1/4 in x Diam. 4 1/4 in, H. 5.7 cm x Diam. 10.8 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with enamel decoration on coral ground,Chinese Art,Ceramics,Not on view,,,,,
Square saucer (cup stand),https://searchcollection.asianart.org/internal/media/dispatcher/18946/preview,https://searchcollection.asianart.org/objects/3495/square-saucer-cup-stand?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1996,B60P2352,,,,"H. 5/8 in x W. 5 1/4 in x D. 4 in, H. 1.6 cm x W. 13.3 cm x D. 10.2 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), prob. Reign of the Kangxi emperor (1662-1722)",Porcelain with yellow glaze,Chinese Art,Ceramics,Not on view,,,,,
"Cup, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/18960/preview,https://searchcollection.asianart.org/objects/3496/cup-one-of-a-pair?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1997,B60P2362,,1723-1735,,H. 1 1/4 in x Diam. 2 1/2 in,The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with a glaze,Chinese Art,Ceramics,On view,,,,,
"Cup, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/18963/preview,https://searchcollection.asianart.org/objects/3497/cup-one-of-a-pair?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1998,B60P2363,,1723-1735,,H. 1 1/4 in x Diam. 2 1/2 in,The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Porcelain with a glaze,Chinese Art,Ceramics,Not on view,,,,,
Bowl,https://searchcollection.asianart.org/internal/media/dispatcher/18968/preview,https://searchcollection.asianart.org/objects/3499/bowl?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=1999,B60P2366,,,,"H. 2 1/2 in x Diam. 4 3/4 in, H. 6.4 cm x Diam. 12.1 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze polychrome decoration; Famille rose on yellow ground,Chinese Art,Ceramics,Not on view,blue four-character mark in two columns,,,,
Vase,https://searchcollection.asianart.org/internal/media/dispatcher/18931/preview,https://searchcollection.asianart.org/objects/3503/vase?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=2000,B60P2344,,,,H. 5 3/4 in x W. 3 1/4 in,The Avery Brundage Collection,,China,Song dynasty (960-1279),High-fired ceramic with gray glaze plus brown crackle,Chinese Art,Ceramics,Not on view,,,,,
Bowl with five-lobed rim,https://searchcollection.asianart.org/internal/media/dispatcher/18604/preview,https://searchcollection.asianart.org/objects/3504/bowl-with-fivelobed-rim?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=2001,B60P2043,,approx. 900-1000,,"H. 3 3/8 in x Diam. 9 1/4 in, H. 8.6 cm x Diam. 23.5 cm",The Avery Brundage Collection,,Northern China,Five Dynasties period (907-960) or Liao dynasty (916-1125),Porcelain with incised lines and transparent creamy-white glaze,Chinese Art,Ceramics,Not on view,,,,,
Wine pot with spout and handle,https://searchcollection.asianart.org/internal/media/dispatcher/18614/preview,https://searchcollection.asianart.org/objects/3508/wine-pot-with-spout-and-handle?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=2002,B60P2050,,,,H. 6 in x W. 3 1/2 in,The Avery Brundage Collection,,China,Tang dynasty (618-907),High-fired ceramic with creamy glaze,Chinese Art,Ceramics,Not on view,,,,,
Vase with dish-shaped mouth,https://searchcollection.asianart.org/internal/media/dispatcher/18994/preview,https://searchcollection.asianart.org/objects/3510/vase-with-dishshaped-mouth?ctx=7b2cb2f58cbea7b3333bd3663110546fe19c30e8&idx=2003,B60P2381,,approx. 1200-1300,,"H. 6 3/4 in x Diam. 4 in, H. 17.2 cm x Diam. 10.2 cm",The Avery Brundage Collection,,"Zhejiang province, China; Zhejiang province",Southern Song period (1127-1279),Pale-gray porcelain with relief bands on the neck and shoulder and iridescent green glaze,Chinese Art,Ceramics,Not on view,,,,,
Saucer with swimming goose,https://searchcollection.asianart.org/internal/media/dispatcher/18685/preview,https://searchcollection.asianart.org/objects/3511/saucer-with-swimming-goose?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2004,B60P2090,,1115-1368,,"H. 1 5/8 in x Diam. 6 5/8 in, H. 4.2 cm x Diam. 16.9 cm",The Avery Brundage Collection,,"Tongchuan, Shaanxi province, China; Tongchuan, Shaanxi province",Jin dynasty (1115-1234) or Yuan dynasty (1271-1368),"High-fired ceramic with carved decoration under glaze
(Yaozhou ware)",Chinese Art,Ceramics,On view,,,,,
Deep dish,https://searchcollection.asianart.org/internal/media/dispatcher/18693/preview,https://searchcollection.asianart.org/objects/3512/deep-dish?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2005,B60P2092,,,,"H. 2 1/4 in x Diam. 8 1/2 in, H. 5.7 cm x Diam. 21.6 cm",The Avery Brundage Collection,,China,Song dynasty (960-1279),High-fired ceramic with celadon glaze,Chinese Art,Ceramics,Not on view,,,,,
Conical bowl,https://searchcollection.asianart.org/internal/media/dispatcher/18718/preview,https://searchcollection.asianart.org/objects/3513/conical-bowl?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2006,B60P2110,,,,"H. 7 in x Diam. 8 1/4 in, H. 17.8 cm x Diam. 21.0 cm",The Avery Brundage Collection,,China,Song dynasty (960-1279) or Yuan dynasty (1271-1368),High-fired ceramic with dark and green brown glaze,Chinese Art,Ceramics,Not on view,,,,,
Bowl,https://searchcollection.asianart.org/internal/media/dispatcher/18802/preview,https://searchcollection.asianart.org/objects/3514/bowl?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2007,B60P2209,,,,H. 2 1/2 in x Diam. 4 1/2 in,The Avery Brundage Collection,,China,Northern Song period (960-1127),Porcelain with light blue glaze (qingbai),Chinese Art,Ceramics,Not on view,,,,,
Small bowl,https://searchcollection.asianart.org/internal/media/dispatcher/18954/preview,https://searchcollection.asianart.org/objects/3516/small-bowl?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2008,B60P2356,,,,H. 1 1/8 in x Diam. 3 in,The Avery Brundage Collection,,China,Song dynasty (960-1279),"High-fired ceramic with carved creamy glaze, metal rim",Chinese Art,Ceramics,Not on view,,,,,
Bowl with crane,https://searchcollection.asianart.org/internal/media/dispatcher/19000/preview,https://searchcollection.asianart.org/objects/3517/bowl-with-crane?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2009,B60P2387,,approx. 1400-1600,,"H. 1 3/4 in x Diam. 3 3/8 in, H. 4.5 cm x Diam. 8.6 cm",The Avery Brundage Collection,,Northern China,Ming dynasty (1368-1644),Porcelaneous ware with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
Ewer with dish-shaped mouth,https://searchcollection.asianart.org/internal/media/dispatcher/75863/preview,https://searchcollection.asianart.org/objects/3518/ewer-with-dishshaped-mouth?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2010,B60P2380,,900-1000,,"H. 7 1/4 in x W. 3 7/8 in x D. 4 7/8 in, H. 18.4 cm x W. 9.9 cm x D. 12.4 cm",The Avery Brundage Collection,,"Zhejiang province, China; Zhejiang province",Northern Song period (960-1127),"Porcelain with grooved bands on the neck, six-lobed body, and pale-gray glaze",Chinese Art,Ceramics,Not on view,,,,,
"Bowl, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/19004/preview,https://searchcollection.asianart.org/objects/3520/bowl-one-of-a-pair?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2011,B60P2389,,,,"H. 2 1/8 in x Diam. 4 3/4 in, H. 5.4 cm x Diam. 12.1 cm",The Avery Brundage Collection,,China,Song dynasty (960-1279),High-fired ceramic with blue glaze,Chinese Art,Ceramics,Not on view,,,,,
Ewer with short spout and double-bar handle,https://searchcollection.asianart.org/internal/media/dispatcher/16482/preview,https://searchcollection.asianart.org/objects/3521/ewer-with-short-spout-and-doublebar-handle?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2012,B60P135,,,,"H. 8 7/8 in x Diam. 6 1/2 in, H. 22.6 cm x Diam. 16.5 cm",The Avery Brundage Collection,,"Henan province, China; Henan province",Tang dynasty (618-907),"Porcelaneous ware, partially sculpted and with suffused dark-gray mottling",Chinese Art,Ceramics,Not on view,,,,,
Bull with stupa,https://searchcollection.asianart.org/internal/media/dispatcher/15526/preview,https://searchcollection.asianart.org/objects/3522/bull-with-stupa?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2013,B60M15+,,approx. 1700-1800,,H. 16 in x L. 23 in,The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Copper repousse with inlaid stones,Chinese Art,Sculpture,Not on view,,,,,
Sword chape (bi),https://searchcollection.asianart.org/internal/media/dispatcher/15075/preview,https://searchcollection.asianart.org/objects/3523/sword-chape-bi?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2014,B60J799,,206 BCE-9 CE,,"H. 2 1/4 in x W. 1 in x D. 1/2 in, H. 5.7 cm x W. 2.5 cm x D. 1.3 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,Western Han period (206 BCE–9 CE),,,
Tiger,https://searchcollection.asianart.org/internal/media/dispatcher/15067/preview,https://searchcollection.asianart.org/objects/3525/tiger?ctx=a952172601feac60290cdd13e978203df3e86b6f&idx=2015,B60J794,,approx. 1600-1100 BCE,,W. 5/8 in x L. 2 in,The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Dancer pendant,https://searchcollection.asianart.org/internal/media/dispatcher/15024/preview,https://searchcollection.asianart.org/objects/3530/dancer-pendant?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2016,B60J766,,approx. 1900-1949,,"H. 1 1/16 in x W. 3/4 in x D. 1/8 in, H. 2.7 cm x W. 1.9 cm x D. .32 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Dragon-shaped ring,https://searchcollection.asianart.org/internal/media/dispatcher/14926/preview,https://searchcollection.asianart.org/objects/3548/dragonshaped-ring?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2017,B60J702,,1300-1100 BCE,,H. 2 in x W. 2 5/8 in,The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Dragon pendant,https://searchcollection.asianart.org/internal/media/dispatcher/14920/preview,https://searchcollection.asianart.org/objects/3551/dragon-pendant?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2018,B60J699,,approx. 1900,,"H. 3/4 in x W. 3 3/4 in x D. 1/16 in, H. 1.9 cm x W. 9.53 cm x D. .16 cm Diameter of outside hole 1/16 in",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Dragon-shaped pendant (xi),https://searchcollection.asianart.org/internal/media/dispatcher/14879/preview,https://searchcollection.asianart.org/objects/3552/dragonshaped-pendant-xi?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2019,B60J679,,,,W. 7/8 in x L. 3 3/4 in,The Avery Brundage Collection,,China,Han dynasty (206 BCE-220 CE),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Bracelet with a design of clouds,https://searchcollection.asianart.org/internal/media/dispatcher/14868/preview,https://searchcollection.asianart.org/objects/3553/bracelet-with-a-design-of-clouds?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2020,B60J673,,1600-1050 BCE,,"H. 3/4 in x Diam. 2 1/2 in, H. .19 cm x Diam. 6.4 cm outside dimension Density 1/4 in (.64 cm)",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Collared disk,https://searchcollection.asianart.org/internal/media/dispatcher/14859/preview,https://searchcollection.asianart.org/objects/3556/collared-disk?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2021,B60J667,,1300-1050 BCE,,"H. 1/2 in x Diam. 5 1/4 in, H. 1.3 cm x Diam. 13.3 cm",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Handle-shaped object,https://searchcollection.asianart.org/internal/media/dispatcher/14819/preview,https://searchcollection.asianart.org/objects/3564/handleshaped-object?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2022,B60J637,,approx. 1300-1100 BCE,,"H. 1/4 in x L. 6 1/2 in x D. 5/8 in, H. .63 cm x L. 16.5 cm x D. 1.6 cm",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Official headdress,https://searchcollection.asianart.org/internal/media/dispatcher/14782/preview,https://searchcollection.asianart.org/objects/3569/official-headdress?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2023,B60J608,,1900-1950,,"H. 1 3/4 in x W. 2 3/8 in x D. 1 1/2 in, H. 4.4 cm x W. 6 cm x D. 3.8 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Turtle,https://searchcollection.asianart.org/internal/media/dispatcher/14733/preview,https://searchcollection.asianart.org/objects/3574/turtle?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2024,B60J579,,206 BCE-9 CE,,"H. 7/8 in x W. 5/8 in, H. 2.2 cm x W. 1.6 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,Western Han period (206 BCE-9 CE),,,
Pendant in the shape of fish,https://searchcollection.asianart.org/internal/media/dispatcher/14705/preview,https://searchcollection.asianart.org/objects/3576/pendant-in-the-shape-of-fish?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2025,B60J565,,1600-1050 BCE,,H. 3 1/2 in x D. 1/8 in,The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Openwork plaque with an auspicious phrase,https://searchcollection.asianart.org/internal/media/dispatcher/14698/preview,https://searchcollection.asianart.org/objects/3578/openwork-plaque-with-an-auspicious-phrase?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2026,B60J559,,1900-1950,,"H. 5 3/8 in x W.  3 1/8 in x D. 1/4 in, H. 13.7 cm x W. 7.9 cm x D. 0.6 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Ax (fu),https://searchcollection.asianart.org/internal/media/dispatcher/14640/preview,https://searchcollection.asianart.org/objects/3582/ax-fu?ctx=0d458277e8c41cd1c7ef3a65b5b36f95dbd0475e&idx=2027,B60J515,,approx. 1300-1050 BCE,,"H. 6 1/4 in x W. 2 1/2 in, H. 15.9 cm x W. 6.4 cm",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Collared disk,https://searchcollection.asianart.org/internal/media/dispatcher/14631/preview,https://searchcollection.asianart.org/objects/3583/collared-disk?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2028,B60J513,,1600-1050 BCE,,"H. 1/2 in x Diam. 4 3/8 in, H. 1.3 cm x Diam. 11.1 cm Diameter (inside) 2 1/2 in",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Dagger (ge),https://searchcollection.asianart.org/internal/media/dispatcher/14620/preview,https://searchcollection.asianart.org/objects/3585/dagger-ge?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2029,B60J509,,approx. 1300-1100 BCE,,"H. 7 in x W. 2 1/4 in, H. 12.8 cm x W. 6.4 cm",The Avery Brundage Collection,,China,Shang dynasty (approx. 1600-1050 BCE),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Vessel (fang hu),https://searchcollection.asianart.org/internal/media/dispatcher/14563/preview,https://searchcollection.asianart.org/objects/3588/vessel-fang-hu?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2030,B60J477,,,,"H. 8 3/16 in x W. 3 1/2 in x D. 2 in, H. 20.8 cm x W. 8.9 cm x D. 5.1 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Jiaqing emperor (1796-1820)-Reign of the Daoguang emperor (1821-1850)",Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Vessel (gong),https://searchcollection.asianart.org/internal/media/dispatcher/14548/preview,https://searchcollection.asianart.org/objects/3589/vessel-gong?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2031,B60J473,,1500-1644,,"H. 6 1/4 in x Diam. 4 1/4 in, H. 15.9 cm x Diam. 10.8 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Hetian nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Vessel in a classical form,https://searchcollection.asianart.org/internal/media/dispatcher/14537/preview,https://searchcollection.asianart.org/objects/3590/vessel-in-a-classical-form?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2032,B60J467,,1900-1950,,"H. 4 3/8 in x W. 4 in x D. 3 1/8 in, H. 11.1 cm x W. 10.2 cm x D. 7.9 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Unicorn,https://searchcollection.asianart.org/internal/media/dispatcher/14499/preview,https://searchcollection.asianart.org/objects/3591/unicorn?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2033,B60J450,,approx. 1700-1800,,"H. 2 1/8 in x W. 3 3/4 in x D. 3 in, H. 5.4 cm x W. 9.5 cm x D. 7.6 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Brush,https://searchcollection.asianart.org/internal/media/dispatcher/14493/preview,https://searchcollection.asianart.org/objects/3592/brush?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2034,B60J447,,1644-1911,,"L. 15 5/16 in x Diam. 1/2 in, H. 38.9 cm x Diam. 1.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Ornament in the form of a seven-holed pipe,https://searchcollection.asianart.org/internal/media/dispatcher/14483/preview,https://searchcollection.asianart.org/objects/3593/ornament-in-the-form-of-a-sevenholed-pipe?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2035,B60J440,,approx. 1900,,"H. 2 1/8 in x W. 3 3/4 in x D. 3/8 in, H. 5.4 cm x W. 9.5 cm",The Avery Brundage Collection,,China,Qing dyansty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Zun cup with handle,https://searchcollection.asianart.org/internal/media/dispatcher/14464/preview,https://searchcollection.asianart.org/objects/3594/zun-cup-with-handle?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2036,B60J429,,1550-1644,,"H. 4 in x W. 4 3/4 in x Diam. 3 1/8 in, H. 10.2 cm x W. 12.1 cm x Diam. 7.9 cm",The Avery Brundage Collection,,China,Ming dynasty (1368-1644),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Disk with interlinked dragons,https://searchcollection.asianart.org/internal/media/dispatcher/14435/preview,https://searchcollection.asianart.org/objects/3595/disk-with-interlinked-dragons?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2037,B60J406,,1900-1950,,"Diam. 5 7/8 in x D. 1/4 in, Diam. 14.9 cm x D. .63 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Mythic beast,https://searchcollection.asianart.org/internal/media/dispatcher/14399/preview,https://searchcollection.asianart.org/objects/3597/mythic-beast?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2038,B60J392,,approx. 1900,,"H. 2 in x W. 3 in x D. 2 1/2 in, H. 5.08 cm x W. 7.6 cm x D. 6.4 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Chime with a design of lingzhi mushrooms,https://searchcollection.asianart.org/internal/media/dispatcher/14453/preview,https://searchcollection.asianart.org/objects/3606/chime-with-a-design-of-lingzhi-mushrooms?ctx=8a0e13ad5e797e0055d5724998449c6538b21d37&idx=2039,B60J418,,1644-1911,,"H. 8 in x W. 7 5/8 in x D. 7/16 in, H. 20.3 cm x W. 19.4 cm x D. 1.1 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Fluted bowl in the shape of a flower,https://searchcollection.asianart.org/internal/media/dispatcher/14436/preview,https://searchcollection.asianart.org/objects/3608/fluted-bowl-in-the-shape-of-a-flower?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2040,B60J408,,1644-1911,,"H. 2 in x Diam. 9 1/4 in, H. 5.1 cm x Diam. 23.5 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Vessel with a red phoenix illuminated by the sun,https://searchcollection.asianart.org/internal/media/dispatcher/60019/preview,https://searchcollection.asianart.org/objects/3632/vessel-with-a-red-phoenix-illuminated-by-the-sun?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2041,B60J463,,1644-1911,,"H. 7 1/2 in x W. 4 in x D. 3 1/2 in, H. 19.1 cm x W. 10.2 cm x D. 8.9 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Rock crystal,Chinese Art,Decorative Arts,On view,,,,,
Three-legged basin with lingzhi fungus,https://searchcollection.asianart.org/internal/media/dispatcher/14579/preview,https://searchcollection.asianart.org/objects/3635/threelegged-basin-with-lingzhi-fungus?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2042,B60J488,,approx. 1700-1800,,"H. 2 7/8 in x Diam. 7 1/16 in, H. 7.3 cm x Diam. 17.9 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Basin with relief symbols of longevity,https://searchcollection.asianart.org/internal/media/dispatcher/14467/preview,https://searchcollection.asianart.org/objects/3636/basin-with-relief-symbols-of-longevity?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2043,B60J430,,1644-1911,,"H. 2 in x Diam. 7 1/8 in, H. 5.1 cm x Diam. 18.1 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,On view,,,,,
Lobed vessel,https://searchcollection.asianart.org/internal/media/dispatcher/14477/preview,https://searchcollection.asianart.org/objects/3638/lobed-vessel?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2044,B60J438,,1644-1911,,"H. 5 1/2 in x Diam. 3 1/4 in, H. 14 cm x Diam. 8.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),"Nephrite from Hetian, Xinjiang",Chinese Art,Jade And Stones,On view,,,,,
Pendant with a design of dragons amid clouds,https://searchcollection.asianart.org/internal/media/dispatcher/14422/preview,https://searchcollection.asianart.org/objects/3641/pendant-with-a-design-of-dragons-amid-clouds?ctx=db8b6097efec715cd68133c87b3a60632339d36e&idx=2045,B60J400,,1900-1950,,"H. 5 1/2 x W. 6 1/4 x D. 1/4 in, H. 14 cm x W. 16 cm x D. .6 cm",The Avery Brundage Collection,,China,,Nephrite,Chinese Art,Jade And Stones,On view,,,,,
